estado,municipio,cve_inegi,id_estado,id_municipio,hombres,mujeres,total
Veracruz de Ignacio de la Llave,Ixcatepec,30078,30,78,6772,6819,13591
Veracruz de Ignacio de la Llave,Ixhuacán de los Reyes,30079,30,79,5663,5779,11442
Veracruz de Ignacio de la Llave,Ixhuatlán del Café,30080,30,80,11448,11557,23005
Veracruz de Ignacio de la Llave,Ixhuatlancillo,30081,30,81,11778,13118,24896
Veracruz de Ignacio de la Llave,Ixhuatlán del Sureste,30082,30,82,7913,7887,15800
Veracruz de Ignacio de la Llave,Ixhuatlán de Madero,30083,30,83,26299,27833,54132
Veracruz de Ignacio de la Llave,Ixmatlahuacan,30084,30,84,2833,2957,5790
Veracruz de Ignacio de la Llave,Ixtaczoquitlán,30085,30,85,33177,35646,68823
Veracruz de Ignacio de la Llave,Jalacingo,30086,30,86,21365,23123,44488
Veracruz de Ignacio de la Llave,Xalapa,30087,30,87,226546,254295,480841
Veracruz de Ignacio de la Llave,Jalcomulco,30088,30,88,2492,2514,5006
Veracruz de Ignacio de la Llave,Jáltipan,30089,30,89,19761,21883,41644
Veracruz de Ignacio de la Llave,Jamapa,30090,30,90,5495,5866,11361
Veracruz de Ignacio de la Llave,Jesús Carranza,30091,30,91,14617,14796,29413
Veracruz de Ignacio de la Llave,Xico,30092,30,92,18653,19545,38198
Veracruz de Ignacio de la Llave,Jilotepec,30093,30,93,8133,8549,16682
Veracruz de Ignacio de la Llave,Juan Rodríguez Clara,30094,30,94,19082,19813,38895
Veracruz de Ignacio de la Llave,Juchique de Ferrer,30095,30,95,7917,7999,15916
Veracruz de Ignacio de la Llave,Landero y Coss,30096,30,96,753,781,1534
Veracruz de Ignacio de la Llave,Lerdo de Tejada,30097,30,97,9072,10534,19606
Veracruz de Ignacio de la Llave,Magdalena,30098,30,98,1479,1564,3043
Veracruz de Ignacio de la Llave,Maltrata,30099,30,99,8759,9337,18096
Veracruz de Ignacio de la Llave,Manlio Fabio Altamirano,30100,30,100,11366,12042,23408
Veracruz de Ignacio de la Llave,Mariano Escobedo,30101,30,101,17831,19454,37285
Veracruz de Ignacio de la Llave,Martínez de la Torre,30102,30,102,52496,57919,110415
Veracruz de Ignacio de la Llave,Mecatlán,30103,30,103,6008,6324,12332
Veracruz de Ignacio de la Llave,Mecayapan,30104,30,104,8319,8993,17312
Veracruz de Ignacio de la Llave,Medellín de Bravo,30105,30,105,36209,39137,75346
Veracruz de Ignacio de la Llave,Miahuatlán,30106,30,106,2312,2373,4685
Veracruz de Ignacio de la Llave,Las Minas ,30107,30,107,1468,1452,2920
Veracruz de Ignacio de la Llave,Minatitlán,30108,30,108,75724,81669,157393
Veracruz de Ignacio de la Llave,Misantla,30109,30,109,31071,33178,64249
Veracruz de Ignacio de la Llave,Mixtla de Altamirano,30110,30,110,5801,5845,11646
Veracruz de Ignacio de la Llave,Moloacán,30111,30,111,8407,9097,17504
Veracruz de Ignacio de la Llave,Naolinco,30112,30,112,10592,11224,21816
Veracruz de Ignacio de la Llave,Naranjal,30113,30,113,2203,2356,4559
Veracruz de Ignacio de la Llave,Nautla,30114,30,114,5340,5526,10866
Veracruz de Ignacio de la Llave,Nogales,30115,30,115,17888,20020,37908
Veracruz de Ignacio de la Llave,Oluta,30116,30,116,7973,8737,16710
Veracruz de Ignacio de la Llave,Omealca,30117,30,117,11609,12411,24020
Veracruz de Ignacio de la Llave,Orizaba,30118,30,118,57660,68345,126005
Veracruz de Ignacio de la Llave,Otatitlán,30119,30,119,2719,2984,5703
Veracruz de Ignacio de la Llave,Oteapan,30120,30,120,7904,8318,16222
Veracruz de Ignacio de la Llave,Ozuluama de Mascareñas,30121,30,121,11703,11541,23244
Veracruz de Ignacio de la Llave,Pajapan,30122,30,122,8672,8808,17480
Veracruz de Ignacio de la Llave,Pánuco,30123,30,123,49550,50999,100549
Veracruz de Ignacio de la Llave,Papantla,30124,30,124,80303,80794,161097
Veracruz de Ignacio de la Llave,Paso del Macho,30125,30,125,15607,16283,31890
Veracruz de Ignacio de la Llave,Paso de Ovejas,30126,30,126,16457,16935,33392
Veracruz de Ignacio de la Llave,La Perla,30127,30,127,13064,13816,26880
Veracruz de Ignacio de la Llave,Perote,30128,30,128,35345,37450,72795
Veracruz de Ignacio de la Llave,Platón Sánchez,30129,30,129,8860,9285,18145
Veracruz de Ignacio de la Llave,Playa Vicente,30130,30,130,18722,20483,39205
Veracruz de Ignacio de la Llave,Poza Rica de Hidalgo,30131,30,131,94411,105708,200119
Veracruz de Ignacio de la Llave,Las Vigas de Ramírez,30132,30,132,9721,10004,19725
Veracruz de Ignacio de la Llave,Pueblo Viejo,30133,30,133,28418,29228,57646
Veracruz de Ignacio de la Llave,Puente Nacional,30134,30,134,10978,11476,22454
Veracruz de Ignacio de la Llave,Rafael Delgado,30135,30,135,11165,11947,23112
Veracruz de Ignacio de la Llave,Rafael Lucio,30136,30,136,3870,4198,8068
Veracruz de Ignacio de la Llave,Los Reyes,30137,30,137,2885,2945,5830
Veracruz de Ignacio de la Llave,Río Blanco,30138,30,138,19692,22235,41927
Veracruz de Ignacio de la Llave,Saltabarranca,30139,30,139,2964,3183,6147
Veracruz de Ignacio de la Llave,San Andrés Tenejapan,30140,30,140,1420,1501,2921
Veracruz de Ignacio de la Llave,San Andrés Tuxtla,30141,30,141,78655,86179,164834
Veracruz de Ignacio de la Llave,San Juan Evangelista,30142,30,142,16496,17433,33929
Veracruz de Ignacio de la Llave,Santiago Tuxtla,30143,30,143,27522,29944,57466
